Date,Power
2023-01-08,10460.0
2023-01-15,22926.18
2023-01-22,24342.88
2023-01-29,17531.44
2023-02-05,19702.69
2023-02-12,16758.17
2023-02-19,22149.09
2023-02-26,13932.0
2023-03-05,2702.1
