"2023-01-02 12:00:00,",337.61
"2023-01-02 13:00:00,",162.14
"2023-01-02 14:00:00,",177.67
"2023-01-02 15:00:00,",302.53
"2023-01-02 16:00:00,",344.64
"2023-01-02 17:00:00,",189.02
"2023-01-02 18:00:00,",297.49
"2023-01-02 19:00:00,",322.88
"2023-01-02 20:00:00,",348.27
"2023-01-02 21:00:00,",316.3
"2023-01-02 22:00:00,",331.04
"2023-01-02 23:00:00,",326.92
"2023-01-03 00:00:00,",322.8
"2023-01-03 01:00:00,",341.82
"2023-01-03 02:00:00,",157.58
"2023-01-03 03:00:00,",285.39
"2023-01-03 04:00:00,",156.65
"2023-01-03 05:00:00,",339.85
"2023-01-03 06:00:00,",302.22
"2023-01-03 07:00:00,",310.35
"2023-01-03 08:00:00,",327.86
"2023-01-03 09:00:00,",172.13
"2023-01-03 10:00:00,",382.6
"2023-01-03 11:00:00,",312.56
"2023-01-03 12:00:00,",426.74
"2023-01-03 13:00:00,",342.6
"2023-01-03 14:00:00,",168.38
"2023-01-03 15:00:00,",307.33
"2023-01-03 16:00:00,",151.28
"2023-01-03 17:00:00,",327.4
"2023-01-03 18:00:00,",184.94
"2023-01-03 19:00:00,",293.86
"2023-01-03 20:00:00,",321.22
"2023-01-03 21:00:00,",346.78
"2023-01-03 22:00:00,",167.38
"2023-01-03 23:00:00,",348.6
"2023-01-04 00:00:00,",177.42
"2023-01-04 01:00:00,",187.48
"2023-01-04 02:00:00,",392.42
"2023-01-04 03:00:00,",354.36
"2023-01-04 04:00:00,",359.29
"2023-01-04 05:00:00,",186.84
"2023-01-04 06:00:00,",602.88
"2023-01-04 07:00:00,",929.11
"2023-01-04 08:00:00,",696.84
"2023-01-04 09:00:00,",464.56
"2023-01-04 10:00:00,",696.84
"2023-01-04 11:00:00,",929.11
"2023-01-04 12:00:00,",464.56
"2023-01-04 13:00:00,",464.56
"2023-01-04 14:00:00,",464.56
"2023-01-04 15:00:00,",464.56
"2023-01-04 16:00:00,",464.56
"2023-01-04 17:00:00,",929.11
"2023-01-04 18:00:00,",929.11
"2023-01-04 19:00:00,",929.11
"2023-01-04 20:00:00,",464.56
"2023-01-04 21:00:00,",929.11
"2023-01-04 22:00:00,",929.11
"2023-01-04 23:00:00,",929.11
"2023-01-05 00:00:00,",464.56
"2023-01-05 01:00:00,",220.72
"2023-01-05 02:00:00,",251.76
"2023-01-05 03:00:00,",225.96
"2023-01-05 04:00:00,",496.54
"2023-01-05 05:00:00,",223.39
"2023-01-05 06:00:00,",594.46
"2023-01-05 07:00:00,",529.51
"2023-01-05 08:00:00,",464.56
"2023-01-05 09:00:00,",464.56
"2023-01-05 10:00:00,",464.56
"2023-01-05 11:00:00,",464.56
"2023-01-05 12:00:00,",929.11
"2023-01-05 13:00:00,",696.84
"2023-01-05 14:00:00,",464.56
"2023-01-05 15:00:00,",464.56
"2023-01-05 16:00:00,",464.56
"2023-01-05 17:00:00,",464.56
"2023-01-05 18:00:00,",929.11
"2023-01-05 19:00:00,",929.11
"2023-01-05 20:00:00,",464.56
"2023-01-05 21:00:00,",464.56
"2023-01-05 22:00:00,",929.11
"2023-01-05 23:00:00,",464.56
"2023-01-06 00:00:00,",929.11
"2023-01-06 01:00:00,",522.8
"2023-01-06 02:00:00,",494.1
"2023-01-06 03:00:00,",453.53
"2023-01-06 04:00:00,",466.08
"2023-01-06 05:00:00,",434.89
"2023-01-06 06:00:00,",399.89
"2023-01-06 07:00:00,",929.11
"2023-01-06 08:00:00,",696.84
"2023-01-06 09:00:00,",464.56
"2023-01-06 10:00:00,",464.56
"2023-01-06 11:00:00,",929.11
"2023-01-06 12:00:00,",464.56
"2023-01-06 13:00:00,",464.56
"2023-01-06 14:00:00,",464.56
"2023-01-06 15:00:00,",929.11
"2023-01-06 16:00:00,",929.11
"2023-01-06 17:00:00,",929.11
"2023-01-06 18:00:00,",929.11
"2023-01-06 19:00:00,",929.11
"2023-01-06 20:00:00,",929.11
"2023-01-06 21:00:00,",929.11
"2023-01-06 22:00:00,",929.11
"2023-01-06 23:00:00,",929.11
"2023-01-07 00:00:00,",929.11
"2023-01-07 01:00:00,",570.6
"2023-01-07 02:00:00,",580.69
"2023-01-07 03:00:00,",581.34
"2023-01-07 04:00:00,",562.95
"2023-01-07 05:00:00,",568.21
"2023-01-07 06:00:00,",643.69
"2023-01-07 07:00:00,",929.11
"2023-01-07 08:00:00,",929.11
"2023-01-07 09:00:00,",929.11
"2023-01-07 10:00:00,",929.11
"2023-01-07 11:00:00,",464.56
"2023-01-07 12:00:00,",929.11
"2023-01-07 13:00:00,",464.56
"2023-01-07 14:00:00,",929.11
"2023-01-07 15:00:00,",929.11
"2023-01-07 16:00:00,",929.11
"2023-01-07 17:00:00,",929.11
"2023-01-07 18:00:00,",929.11
"2023-01-07 19:00:00,",929.11
"2023-01-07 20:00:00,",929.11
"2023-01-07 21:00:00,",929.11
"2023-01-07 22:00:00,",929.11
"2023-01-07 23:00:00,",929.11
"2023-01-08 00:00:00,",929.11
"2023-01-08 01:00:00,",595.14
"2023-01-08 02:00:00,",560.5
"2023-01-08 03:00:00,",564.6
"2023-01-08 04:00:00,",581.63
"2023-01-08 05:00:00,",503.97
"2023-01-08 06:00:00,",520.98
"2023-01-08 07:00:00,",929.11
"2023-01-08 08:00:00,",929.11
"2023-01-08 09:00:00,",464.56
"2023-01-08 10:00:00,",464.56
"2023-01-08 11:00:00,",929.11
"2023-01-08 12:00:00,",929.11
"2023-01-08 13:00:00,",929.11
"2023-01-08 14:00:00,",929.11
"2023-01-08 15:00:00,",464.56
"2023-01-08 16:00:00,",929.11
"2023-01-08 17:00:00,",929.11
"2023-01-08 18:00:00,",929.11
"2023-01-08 19:00:00,",929.11
"2023-01-08 20:00:00,",929.11
"2023-01-08 21:00:00,",929.11
"2023-01-08 22:00:00,",929.11
"2023-01-08 23:00:00,",929.11
"2023-01-09 00:00:00,",929.11
"2023-01-09 01:00:00,",807.87
"2023-01-09 02:00:00,",762.76
"2023-01-09 03:00:00,",745.54
"2023-01-09 04:00:00,",697.13
"2023-01-09 05:00:00,",641.04
"2023-01-09 06:00:00,",666.12
"2023-01-09 07:00:00,",812.14
"2023-01-09 08:00:00,",929.11
"2023-01-09 09:00:00,",929.11
"2023-01-09 10:00:00,",803.64
"2023-01-09 11:00:00,",825.97
"2023-01-09 12:00:00,",715.77
"2023-01-09 13:00:00,",725.62
"2023-01-09 14:00:00,",872.53
"2023-01-09 15:00:00,",929.11
"2023-01-09 16:00:00,",929.11
"2023-01-09 17:00:00,",387.06
"2023-01-09 18:00:00,",929.11
"2023-01-09 19:00:00,",929.11
"2023-01-09 20:00:00,",929.11
"2023-01-09 21:00:00,",929.11
"2023-01-09 22:00:00,",929.11
"2023-01-09 23:00:00,",929.11
"2023-01-10 00:00:00,",796.78
"2023-01-10 01:00:00,",268.96
"2023-01-10 02:00:00,",272.64
"2023-01-10 03:00:00,",126.5
"2023-01-10 04:00:00,",257.69
"2023-01-10 05:00:00,",255.43
"2023-01-10 06:00:00,",128.84
"2023-01-10 07:00:00,",653.67
"2023-01-10 08:00:00,",822.84
"2023-01-10 09:00:00,",867.36
"2023-01-10 10:00:00,",861.52
"2023-01-10 11:00:00,",845.48
"2023-01-10 12:00:00,",792.6
"2023-01-10 13:00:00,",851.61
